FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
5571.771012,5004.433402,2747.369383,3511.619222,108.389719,24.07669,101.783666,2200.968313,5345.313984,2926.228981,1040.158291,2782.698719
6726.049529,5423.3874,2716.852845,4781.032835,265.580128,12.738098,31.774193,4131.557879,7294.851272,4213.338414,1217.003231,3859.755034
10286.247085,12329.178469,8746.021258,7746.350668,709.885848,187.71068,208.589489,7594.240341,11455.484869,10594.831294,5141.533042,7299.00103
11109.293596,11301.780199,5308.562788,9878.926283,1995.964204,261.474158,4383.619697,6140.708715,11176.689545,4194.559094,5758.896135,7264.100723
4889.923703,4358.927371,2564.342956,2202.631874,482.051247,47.18232,153.108526,2860.032033,4747.134888,3765.38214,2228.027309,3416.454615
14660.251656,14213.655329,9741.307009,9960.80317,5193.957583,3240.743956,3896.295652,10311.760075,14808.291957,9976.892097,10754.045498,10067.541836
1281.526909,850.86266,215.109132,126.160131,19.498862,14.5593,12.235593,626.463048,1332.562628,352.992938,235.682736,855.587279
3814.929518,2869.326468,1432.715484,2119.970609,306.646705,36.4218,29.005503,2978.084689,4645.78502,2611.745283,1877.170763,2974.906888
5424.429263,5328.783901,3081.279267,3550.428277,156.870285,9.4713,458.64627,4849.689649,6241.370009,4303.315604,2995.229858,3549.599597
7087.145067,7109.11893,4173.438887,5443.590215,409.699707,37.78697,223.929346,6403.412179,8108.547164,4817.0797,1732.589802,2353.196917
7466.538947,8197.780776,4681.031125,5280.180189,1003.459172,539.45126,701.656225,5471.637438,8448.875196,4510.462186,5281.822768,4633.38742
10436.160672,10393.849525,6976.609307,8317.691875,1980.258458,1313.76163,2117.922003,7987.746699,10511.387129,8909.988275,4512.648031,8330.670449
7224.491848,7495.41381,6684.832799,5271.907058,413.996618,93.724884,252.95648,7366.070682,7405.097562,4773.47287,1698.862211,3214.795703
11248.549071,10291.332362,6723.392427,9769.963567,1145.548457,896.027277,1448.450102,8832.397677,12217.415445,6920.08694,5591.788918,7588.374553
